Country,EF2013,EF2009,GDP2013,GDP2009,EFDelta,GDPDelta,DDelta,EFDelta_P,GDPDelta_P,DDelta_P,DDelta_Rank,EFDelta_Rank,GDPDelta_Rank,Dec_Flag,GDP_std
Afghanistan,27270736.4938003,20868574.0167032,19731337261.0,14697331941.0,6402162.4770971015,5034005320.0,5027603157.5229025,30.67848561177593,34.2511507544919,3.572665142715973,102.0,149.0,140.0,0.0,28.05540003432355
Albania,6616186.32750213,6815357.2583161,12542465022.0,11500292411.0,-199170.93081397004,1042172611.0,1042371781.930814,-2.9223843045196443,9.062140107004275,11.98452441152392,62.0,34.0,47.0,1.0,26.929485822116472
Algeria,90957355.0691416,76216524.2224222,176325000000.0,155605000000.0,14740830.8467194,20720000000.0,20705259169.153282,19.340728270028855,13.315767488191256,-6.024960781837599,135.0,128.0,69.0,0.0,52.58094793082192
Angola,22957308.3984888,17607132.6724938,96261432368.0,79753199398.0,5350175.725995,16508232970.0,16502882794.274006,30.386411152300496,20.69914824058329,-9.687262911717205,142.0,148.0,101.0,0.0,40.041469459103965
Argentina,158699622.34092,119344051.76708001,457639000000.0,385956000000.0,39355570.57383999,71683000000.0,71643644429.42616,32.97656648246618,18.57284250018137,-14.403723982284813,146.0,151.0,93.0,0.0,96.6400743365627
Armenia,6193203.33075097,5844214.27306038,10736584306.0,9060944166.0,348989.0576905906,1675640140.0,1675291150.9423094,5.97153084032696,18.492997079571673,12.521466239244713,58.0,71.0,92.0,0.0,26.646650532227117
Australia,204837815.446699,216496001.565052,1241480000000.0,1119650000000.0,-11658186.11835301,121830000000.0,121841658186.11835,-5.384942924615629,10.881078908587504,16.266021833203133,44.0,26.0,56.0,1.0,219.40449310350022
Austria,51883277.7505137,49630216.9149849,404687000000.0,382851000000.0,2253060.835528806,21836000000.0,21833746939.16447,4.539695724860991,5.703524347592144,1.1638286227311534,115.0,68.0,33.0,0.0,88.34678334700375
Azerbaijan,21861065.9894726,18768195.3779024,57238335961.0,50453518393.0,3092870.611570202,6784817568.0,6781724697.38843,16.479318065985904,13.447659913726326,-3.0316581522595776,131.0,116.0,70.0,0.0,33.92970986896831
Bangladesh,117772778.846691,100248357.281787,138597000000.0,109195000000.0,17524421.564904004,29402000000.0,29384475578.435097,17.481006213044274,26.926141306836392,9.445135093792118,72.0,119.0,119.0,0.0,46.67202508647081
Barbados,949884.13331456,1207194.63066241,4490584971.0,4435485769.0,-257310.49734785,55099202.0,55356512.49734785,-21.31474832742248,1.2422360226041793,22.556984350026656,25.0,3.0,14.0,1.0,25.668408161669884
Belarus,43935430.5042303,42138099.4580768,59927867090.0,51253510501.0,1797331.0461535007,8674356589.0,8672559257.953846,4.265334861487205,16.924414550747223,12.659079689260018,57.0,66.0,82.0,0.0,34.35094163128652
Belgium,76842363.50391391,77768005.216984,492609000000.0,470887000000.0,-925641.7130700946,21722000000.0,21722925641.71307,-1.19026032683675,4.612996323958827,5.803256650795577,91.0,41.0,28.0,1.0,102.11704189028828
Benin,13565077.101249302,11461191.387977,8063036668.0,6825749998.0,2103885.7132723015,1237286670.0,1235182784.2867277,18.35660571447499,18.126750472292937,-0.22985524218205455,120.0,125.0,88.0,0.0,26.22792208879945
Bermuda,368749.697193994,366116.196491398,5151445060.0,5867281537.0,2633.5007025960367,-715836477.0,-715839110.5007026,0.7193073477310398,-12.200479429627206,-12.919786777358246,145.0,50.0,3.0,0.0,25.771911429185046
Bhutan,3479548.25424817,2849623.00889237,1835844374.0,1419010481.0,629925.2453558003,416833893.0,416203967.7546442,22.105564258503378,29.374969288898438,7.26940503039506,86.0,134.0,122.0,0.0,25.252625258800936
Bolivia,31830193.987958197,27629934.5072771,23208056518.0,18870603598.0,4200259.480681095,4337452920.0,4333252660.519319,15.201843781333762,22.985236786276964,7.783393004943202,83.0,107.0,109.0,0.0,28.599920439356488
Bosnia and Herzegovina,12291774.026109101,12310976.7195724,17568163123.0,17032435469.0,-19202.693463299423,535727654.0,535746856.6934633,-0.15598025973658403,3.145337934642728,3.301318194379312,103.0,44.0,23.0,1.0,27.716605794492715
Botswana,6679456.86774574,6653148.26792079,15560888960.0,11778027472.0,26308.5998249501,3782861488.0,3782835179.400175,0.395430836132139,32.11795436029528,31.72252352416314,12.0,46.0,134.0,0.0,27.402228457856094
Brazil,615872753.082704,531817637.584366,2409740000000.0,2054210000000.0,84055115.49833792,355530000000.0,355445944884.50165,15.80525156708509,17.307383373657025,1.502131806571935,113.0,110.0,84.0,0.0,402.3762435843534
Bulgaria,22680547.278157398,26116832.5770542,52039981143.0,50582434410.0,-3436285.2988968007,1457546733.0,1460983018.2988968,-13.157358530206539,2.8815274511814466,16.038885981387985,45.0,9.0,20.0,1.0,33.11554856868409
Burkina Faso,20326395.7584631,17479473.332306,10785180292.0,8288546127.0,2846922.4261570983,2496634165.0,2493787242.573843,16.287232298328718,30.121496903626994,13.834264605298277,50.0,115.0,126.0,0.0,26.654261588520036
Burundi,6613951.14922747,7250208.06224618,2297622744.0,1952928500.0,-636256.91301871,344694244.0,345330500.9130187,-8.775705573635522,17.650121036177207,26.42582660981273,18.0,17.0,86.0,1.0,25.324948540170748
Cabo Verde,1118118.84144171,903479.4737200891,1762867521.0,1640251585.0,214639.36772162095,122615936.0,122401296.63227838,23.75697223511237,7.475434690709353,-16.28153754440302,147.0,141.0,39.0,0.0,25.241195694715895
Cambodia,18294262.5133832,15182321.9837159,13876856310.0,10609615491.0,3111940.5296672992,3267240819.0,3264128878.4703326,20.497131683843044,30.795091695561993,10.29796001171895,70.0,129.0,129.0,0.0,27.13847689413106
Cameroon,25769697.9247493,22486657.7756991,27160443493.0,22874787500.0,3283040.1490501985,4285655993.0,4282372952.85095,14.599947141091446,18.735282209725447,4.135335068634001,98.0,105.0,94.0,0.0,29.21893946199997
Canada,308461755.39851004,276879206.502054,1730690000000.0,1565140000000.0,31582548.896456063,165550000000.0,165518417451.10355,11.406616370890884,10.577328545689204,-0.8292878252016802,123.0,94.0,54.0,0.0,296.0240898137686
Central African Republic,5381556.35510898,5526940.40313146,1352053851.0,1927297142.0,-145384.04802247975,-575243291.0,-575097906.9519775,-2.630461655423458,-29.84715114572613,-27.21668949030267,150.0,35.0,1.0,0.0,25.176854455333082
Chad,18068927.9451055,16822435.4410686,12275999076.0,9385905830.0,1246492.5040368997,2890093246.0,2888846753.495963,7.409703002894803,30.791841494535856,23.38213849164105,22.0,76.0,128.0,0.0,26.887752183557286
Chile,76455632.5665068,62460474.5862978,252462000000.0,205703000000.0,13995157.980209,46759000000.0,46745004842.01979,22.406422738387537,22.731316509725186,0.3248937713376492,119.0,135.0,107.0,0.0,64.50545118040739
China,5009653687.30919,4252929833.1113296,7766510000000.0,5514130000000.0,756723854.1978602,2252380000000.0,2251623276145.8022,17.793001151967307,40.84742289354803,23.05442174158072,24.0,123.0,148.0,0.0,1241.348376348738
Colombia,89343293.7170968,85859687.13139509,333817000000.0,276054000000.0,3483606.585701719,57763000000.0,57759516393.4143,4.057325040528733,20.924529258768214,16.86720421823948,41.0,64.0,103.0,0.0,77.24719253966799
Comoros,788182.833394799,732365.6649899491,580236282.9,519073731.2,55817.168404849945,61162551.69999999,61106734.53159514,7.621488973765035,11.783018100069093,4.161529126304058,97.0,78.0,60.0,0.0,25.055973134833252
Congo,5556632.01632539,4696991.37355941,13334057141.0,11041561163.0,859640.6427659802,2292495978.0,2291636337.357234,18.301942124167436,20.762426111283048,2.4604839871156123,109.0,124.0,102.0,0.0,27.053464213639145
Congo,54656142.7555294,51574592.5809501,25500497990.0,19166509369.0,3081550.1745793,6333988621.0,6330907070.82542,5.974938473324013,33.04716836569429,27.072229892370277,15.0,72.0,139.0,0.0,28.958960403924944
Costa Rica,11675431.483474901,9583816.19013174,41572792270.0,35510217687.0,2091615.2933431603,6062574583.0,6060482967.706656,21.82445126083338,17.072760962598828,-4.7516902982345535,132.0,133.0,83.0,0.0,31.47618757823118
Croatia,16116829.111541199,17475922.7758038,57591646782.0,60713512917.0,-1359093.664262602,-3121866135.0,-3120507041.335737,-7.776949358830587,-5.141962612619416,2.6349867462111707,108.0,19.0,6.0,0.0,33.985045067795795
Cuba,21083118.439808603,22007802.8183302,69954605015.0,62827666171.0,-924684.3785215952,7126938844.0,7127863528.378522,-4.201620607721138,11.343631362340263,15.5452519700614,47.0,28.0,58.0,1.0,35.92131962056118
Cyprus,3774867.62692295,5741441.05101511,23356225780.0,25229779225.0,-1966573.4240921596,-1873553445.0,-1871586871.575908,-34.25226187325326,-7.425960521856291,26.82630135139697,17.0,1.0,4.0,0.0,28.623126565762934
Czech Republic,55794066.5165049,58308093.014167294,208464000000.0,202371000000.0,-2514026.4976623952,6093000000.0,6095514026.497663,-4.311625312547187,3.010806884385609,7.3224321969327955,85.0,27.0,22.0,1.0,57.61452700457617
Côte d'Ivoire,26335865.305145103,20642565.524460502,28681616270.0,24392355457.0,5693299.7806846015,4289260813.0,4283567513.2193155,27.580388561384485,17.584446982011688,-9.995941579372797,143.0,146.0,85.0,0.0,29.45718407004228
Denmark,34355274.6957122,38060702.268691495,322470000000.0,314697000000.0,-3705427.5729792938,7773000000.0,7776705427.572979,-9.73557331344187,2.469994947520949,12.205568260962819,60.0,14.0,19.0,1.0,75.47003638204365
Djibouti,2408004.49913318,1562672.30156371,1297930970.0,1090583938.0,845332.1975694699,207347032.0,206501699.80243054,54.09529539389521,19.01247806567274,-35.082817328222475,154.0,155.0,96.0,0.0,25.16837778209456
Dominica,161736.098810208,203575.82908543397,491169137.4,490525414.3,-41839.73027522597,643723.0999999642,685562.8302751902,-20.552405687448893,0.13123134525426855,20.68363703270316,30.0,4.0,12.0,1.0,25.042023524710103
Dominican Republic,15684077.9512712,14126200.681344,59894034107.0,49811705704.0,1557877.2699272,10082328403.0,10080770525.730072,11.02828216212896,20.240881657241392,9.212599495112432,74.0,92.0,99.0,0.0,34.34564274223486
Egypt,171292054.369118,146321022.47871298,232552000000.0,208189000000.0,24971031.89040503,24363000000.0,24338028968.109596,17.065922221831013,11.702347386269206,-5.363574835561806,134.0,117.0,59.0,0.0,61.38716625061968
El Salvador,11534909.1189998,11643748.5088296,22716943730.0,21129922272.0,-108839.38982979953,1587021458.0,1587130297.3898299,-0.9347452819619495,7.510777548401197,8.445522830363148,78.0,42.0,40.0,1.0,28.523002829831306
Estonia,9253852.50934398,8893818.82456169,22185920530.0,19061483444.0,360033.68478228897,3124437086.0,3124077052.3152175,4.048133786894768,16.39136374238219,12.343229955487422,59.0,63.0,81.0,0.0,28.43983449020661
Ethiopia,95726695.6505563,85404642.61808921,39984181570.0,26595865977.0,10322053.032467082,13388315593.0,13377993539.967533,12.086056115971394,50.33983704301323,38.25378092704184,2.0,99.0,151.0,0.0,31.227380907959482
Fiji,2927679.76927503,1964426.66808067,3486033014.0,3050380075.0,963253.1011943601,435652939.0,434689685.8988056,49.03482104198372,14.281923179687697,-34.752897862296024,153.0,154.0,73.0,0.0,25.51107620643624
Finland,36725584.285298795,35157018.2393422,248661000000.0,240615000000.0,1568566.0459565967,8046000000.0,8044431433.954043,4.461601479619523,3.3439311763605764,-1.1176703032589463,124.0,67.0,24.0,0.0,63.910142239266094
France,323422024.51603997,343227524.2243,2722570000000.0,2595970000000.0,-19805499.70826006,126600000000.0,126619805499.70827,-5.770370471605045,4.8767897934105555,10.6471602650156,66.0,25.0,30.0,1.0,451.3713754068289
Gambia,1715254.38549951,1975427.52185126,1010735774.0,894092762.5,-260173.13635175,116643011.5,116903184.63635175,-13.170472390094593,13.045963057999813,26.21643544809441,19.0,8.0,67.0,1.0,25.123397548463508
Georgia,7057686.71088837,6159381.96732926,13721005523.0,10953604844.0,898304.74355911,2767400679.0,2766502374.256441,14.584332459391533,25.264748166589968,10.680415707198435,65.0,104.0,115.0,0.0,27.114067694713796
Germany,439951136.61170304,424944420.62957,3577230000000.0,3283340000000.0,15006715.98213303,293890000000.0,293874993284.0179,3.5314538216315574,8.950946292494837,5.41949247086328,93.0,62.0,46.0,0.0,585.2273974104635
Ghana,50246042.9358142,43284567.0790414,43036444041.0,29819138460.0,6961475.856772803,13217305581.0,13210344105.143227,16.083043741804186,44.324907638528735,28.24186389672455,14.0,112.0,150.0,0.0,31.7054233019864
Greece,46510880.11423471,63928319.1073588,244004000000.0,316733000000.0,-17417438.99312409,-72729000000.0,-72711582561.00688,-27.24526350188232,-22.96224264601415,4.28302085586817,95.0,2.0,2.0,0.0,63.18076740661811
Grenada,323040.566354853,294419.45572735,786001370.8,774978091.9,28621.11062750296,11023278.899999976,10994657.789372474,9.721202206829638,1.4223987768446977,-8.29880342998494,139.0,89.0,16.0,0.0,25.088199863747114
Guatemala,26630100.5535062,23824482.6142659,45977071712.0,40185230155.0,2805617.939240299,5791841557.0,5789035939.06076,11.776196716063495,14.412861478359249,2.6366647622957533,107.0,97.0,74.0,0.0,32.165981561684845
Guinea,16414724.489460599,15112892.791235501,5232815182.0,4645999835.0,1301831.6982250977,586815347.0,585513515.3017749,8.61404706701867,12.630550319423334,4.016503252404663,99.0,84.0,64.0,0.0,25.784655538937308
Guinea-Bissau,2298634.73522262,2351332.47642793,916146733.4,810416063.8,-52697.74120530998,105730669.60000002,105783367.34120533,-2.2411862947330494,13.046467650731683,15.287653945464733,48.0,38.0,68.0,1.0,25.108583104474253
Guyana,2523984.93964874,2044694.34368711,2627239853.0,2164673351.0,479290.5959616299,462566502.0,462087211.40403837,23.44069652471115,21.36888236676962,-2.0718141579415317,128.0,139.0,105.0,0.0,25.376572852757132
Haiti,6333810.588638599,6024645.81487305,7494399817.0,7007815292.0,309164.77376554906,486584525.0,486275360.22623444,5.131667209420239,6.943455338434454,1.8117881290142153,110.0,69.0,36.0,0.0,26.13886273556011
Honduras,13396845.5227149,13340399.3042018,17482092985.0,15163860003.0,56446.21851309948,2318232982.0,2318176535.781487,0.4231224060536233,15.28788172365983,14.864759317606206,49.0,47.0,76.0,0.0,27.703125572783517
Hungary,32381414.1284617,33681433.150279105,133161000000.0,129382000000.0,-1300019.0218174048,3779000000.0,3780300019.021817,-3.8597497203192255,2.920808149510751,6.780557869829977,87.0,30.0,21.0,1.0,45.82064402779045
India,1360535261.88438,1195909973.1004698,1989650000000.0,1502410000000.0,164625288.78391027,487240000000.0,487075374711.21606,13.765692442308941,32.43056156441983,18.664869122110893,37.0,103.0,136.0,0.0,336.58215437518624
Indonesia,363759395.519184,339496620.016609,897262000000.0,710852000000.0,24262775.50257498,186410000000.0,186385737224.49744,7.146691328293044,26.223461423756284,19.07677009546324,34.0,75.0,117.0,0.0,165.49340310040304
Iran,231761935.051184,226085992.729672,444593000000.0,438921000000.0,5675942.321511984,5672000000.0,5666324057.678488,2.510523652077213,1.292259882757945,-1.2182637693192682,125.0,57.0,15.0,0.0,94.59682244334269
Iraq,64839766.48066371,48653218.6396868,180886000000.0,130182000000.0,16186547.840976909,50704000000.0,50687813452.15902,33.269223072064996,38.94854895454057,5.679325882475574,92.0,152.0,147.0,0.0,53.29528733638504
Ireland,22439331.4667848,23961886.442130104,221231000000.0,216945000000.0,-1522554.9753453024,4286000000.0,4287522554.975345,-6.354069739135089,1.9756159395238424,8.329685678658931,79.0,23.0,18.0,1.0,59.614082187830796
Israel,46581900.085693,37628978.481224,262441000000.0,221533000000.0,8952921.604469001,40908000000.0,40899047078.39553,23.792624636186453,18.46587190170313,-5.326752734483321,133.0,142.0,91.0,0.0,66.06835250207246
Italy,269332703.35777795,303803797.366943,2041290000000.0,2089940000000.0,-34471094.00916505,-48650000000.0,-48615528905.99084,-11.346498729747562,-2.327818023483928,9.018680706263634,75.0,12.0,9.0,0.0,344.66996119458537
Jamaica,5237173.7057594005,4133274.63543848,13404030752.0,13388911184.0,1103899.0703209206,15119568.0,14015668.929679079,26.70761484988556,0.11292604598100678,-26.594688803904553,149.0,145.0,11.0,0.0,27.064423412868884
Japan,633212871.74155,585433230.964764,5894240000000.0,5470750000000.0,47779640.77678597,423490000000.0,423442220359.2232,8.161415896744973,7.740986153635242,-0.42042974310973147,121.0,81.0,41.0,0.0,948.1152610552357
Jordan,14819284.675102802,13317566.9949774,28607718021.0,25821963958.0,1501717.6801254023,2785754063.0,2784252345.319875,11.276216449234019,10.788312103336102,-0.48790434589791687,122.0,93.0,55.0,0.0,29.445610197807504
Kenya,44920500.7401965,40997147.944745794,46904248573.0,36899279533.0,3923352.7954507098,10004969040.0,10001045687.20455,9.569818858468977,27.114266637787036,17.54444777931806,40.0,88.0,120.0,0.0,32.31119510427169
"Korea, Republic of",291752674.18696,269778293.279961,1194430000000.0,1027730000000.0,21974380.906998992,166700000000.0,166678025619.093,8.14534803368898,16.220213480194214,8.074865446505234,80.0,80.0,80.0,0.0,212.03556764159606
