country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore,country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore,Population
Turkey,2011,223,AreaPerCap,0.391761398,0.154496933,0.280650357,0.08066994,0.018312803,0,0.925891431,6,Turkey,2011,223,AreaTotHA,28801122.68,11358151,20632572.29,5930612,1346302.36,0,68068760.33,6," 73,517,000 "
Uganda,2011,226,AreaPerCap,0.265613547,0.155135824,0.076409137,0.119759602,0.026980819,0,0.643898929,6,Uganda,2011,226,AreaTotHA,9100000,5315000,2617800,4103000,924370.9717,0,22060170.97,6," 34,260,301 "
United Kingdom,2011,229,AreaPerCap,0.107144739,0.171201467,0.037520113,0.837904711,0.032320292,0,1.186091321,6,United Kingdom,2011,229,AreaTotHA,6767786.541,10813923.26,2369954.099,52926166,2041507.945,0,74919337.84,6," 63,164,898 "
Ukraine,2011,230,AreaPerCap,0.734315952,0.173403671,0.210428411,0.226005277,0.032474378,0,1.376627689,5,Ukraine,2011,230,AreaTotHA,33395000,7886000,9569800,10278200,1476859.985,0,62605859.99,5," 45,477,699 "
United States of America,2011,231,AreaPerCap,0.437310832,0.858086908,0.989132175,0.880959698,0.027105413,0,3.192595025,6,United States of America,2011,231,AreaTotHA,136611530.7,268057769.3,308995000,275203000,8467459.961,0,997334760,6," 312,390,000 "
Burkina Faso,2011,233,AreaPerCap,0.359473261,0.372511151,0.347006554,0.003849282,0.040317068,0,1.123157315,6,Burkina Faso,2011,233,AreaTotHA,5790000,6000000,5589200,62000,649382.9956,0,18090583,6," 16,106,900 "
Uzbekistan,2011,235,AreaPerCap,0.164426954,0.781294381,0.115929171,0.078129438,0.024267643,0,1.164047586,6,Uzbekistan,2011,235,AreaTotHA,4630000,22000000,3264380,2200000,683338.0127,0,32777718.01,6," 28,158,400 "
"Venezuela, Bolivarian Republic of",2011,236,AreaPerCap,0.115537796,0.618467026,1.60871429,0.441384964,0.029124088,0,2.813228163,5,"Venezuela, Bolivarian Republic of",2011,236,AreaTotHA,3400000,18200000,47340600,12988900,857052.002,0,82786552,5," 29,427,600 "
Viet Nam,2011,237,AreaPerCap,0.113139109,0.007696881,0.159613715,0.499149713,0.020825687,0,0.800425105,6,Viet Nam,2011,237,AreaTotHA,10105800,687500,14257000,44585000,1860189.941,0,71495489.94,6," 89,321,898 "
Ethiopia,2011,238,AreaPerCap,0.159223308,0.24502468,0.137288872,0.116071117,0.029754602,0,0.687362579,6,Ethiopia,2011,238,AreaTotHA,14307600,22017600,12336600,10430000,2673709.961,0,61765509.96,6," 89,858,703 "
Yemen,2011,249,AreaPerCap,0.059170864,0.908524469,0.022653281,0.243537209,0.028266055,0,1.262151877,5,Yemen,2011,249,AreaTotHA,1434000,22018000,549000,5902100,685025.0244,0,30588125.02,5," 24,234,900 "
"Congo, Democratic Republic of",2011,250,AreaPerCap,0.115146124,0.267303501,2.25920807,0.115389928,0.045183397,0,2.802231019,6,"Congo, Democratic Republic of",2011,250,AreaTotHA,7840000,18200000,153823600,7856600,3076419.922,0,190796619.9,6," 68,087,398 "
Zambia,2011,251,AreaPerCap,0.253494614,1.394359815,3.437194548,0.064279987,0.042890087,0,5.192219052,6,Zambia,2011,251,AreaTotHA,3636000,20000000,49301400,922000,615193.9697,0,74474593.97,6," 14,343,500 "
Belgium,2011,255,AreaPerCap,0.124981863,0.032155967,0.057548976,0.032727892,0.0592874,0,0.306702097,6,Belgium,2011,255,AreaTotHA,1375450.423,353882.8531,633337.9968,360177,652469.7043,0,3375317.977,6," 11,005,200 "
Luxembourg,2011,256,AreaPerCap,0.202299075,0.07303018,0.181008531,0.00199815,0.051827318,0,0.510163254,5,Luxembourg,2011,256,AreaTotHA,105191.6792,37974.30746,94121,1039,26949.2215,0,265275.2082,5," 519,981 "
Serbia,2011,272,AreaPerCap,0.471250666,0.040620069,0.326683426,0.009434079,0.028435921,0,0.876424161,6,Serbia,2011,272,AreaTotHA,4252509.403,366550.6215,2947951.993,85132,256602.3381,0,7908746.356,6," 9,023,880 "
Montenegro,2011,273,AreaPerCap,0.337248933,0.258948797,1.746196709,0.622850403,0.024595847,0,2.989840689,5,Montenegro,2011,273,AreaTotHA,210091.5738,161313.9581,1087805.411,388009,15322.15406,0,1862542.097,5," 622,957 "
Sudan,2011,276,AreaPerCap,0.466572053,2.477200999,0.539235402,0.035340294,0.041929455,0,3.560278203,5,Sudan,2011,276,AreaTotHA,17225000,91453800,19907600,1304700,1547959.961,0,131439060,5," 36,918,199 "
South Sudan,2011,277,AreaPerCap,0.262604552,2.452231754,0.68096405,0,0.041929573,0,3.43772993,5,South Sudan,2011,277,AreaTotHA,2760000,25773200,7157000,0,440683.9905,0,36130883.99,5," 10,510,100 "
China,2011,351,AreaPerCap,0.088854766,0.284864614,0.14659142,0.098060217,0.022310771,0,0.640681789,6,China,2011,351,AreaTotHA,122532500,392834000,202152500,135227000,30767000,0,883513000,6," 1,379,020,000 "
World,2011,5001,AreaPerCap,0.222195138,0.479670923,0.572097403,0.424750208,0.025375743,0,1.724089416,6,World,2011,5001,AreaTotHA,1558350050,3364138440,4012365090,2978955850,177971000,0,12091780430,6," 7,013,430,000 "
Ecuador,2011,58,AreaPerCap,0.167038935,0.316979968,0.847503849,0.264216959,0.031674079,0,1.62741379,4,Ecuador,2011,58,AreaTotHA,2535200,4810900,12862820,4010100,480726.9897,0,24699746.99,4," 15,177,300 "
Bermuda,2011,17,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.478152827,3T,Bermuda,2011,17,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,30400,3T," 63,578 "
Cabo Verde,2011,35,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.092275418,3T,Cabo Verde,2011,35,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,540850,3T," 495,159 "
Finland,2011,67,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,7.269611625,3T,Finland,2011,67,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,39225514.52,3T," 5,395,820 "
Djibouti,2011,72,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.328618244,3T,Djibouti,2011,72,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,1960235.5,3T," 841,802 "
Grenada,2011,86,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.447796714,3T,Grenada,2011,86,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,257190,3T," 105,070 "
Cambodia,2011,115,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.456325015,3T,Cambodia,2011,115,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,21252296,3T," 14,593,100 "
Martinique,2011,135,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.579164959,3T,Martinique,2011,135,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,228595.2498,3T," 394,698 "
British Virgin Islands,2011,239,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,11.35383066,3T,British Virgin Islands,2011,239,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,316840,3T," 27,906 "
Wallis and Futuna Islands,2011,243,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,3.986617157,3T,Wallis and Futuna Islands,2011,243,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,53620,3T," 13,450 "
Botswana,2011,20,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,18.56138685,3B,Botswana,2011,20,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,38787915,3B," 2,089,710 "
Comoros,2011,45,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.465660678,3B,Comoros,2011,45,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,333400,3B," 715,972 "
Georgia,2011,73,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.359765784,3B,Georgia,2011,73,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,5706121.002,3B," 4,196,400 "
Honduras,2011,95,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.015194785,3B,Honduras,2011,95,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,15358626,3B," 7,621,410 "
"Iran, Islamic Republic of",2011,102,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.099973975,3B,"Iran, Islamic Republic of",2011,102,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,82700769.89,3B," 75,184,297 "
Iraq,2011,103,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.329944325,3B,Iraq,2011,103,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,10514600.02,3B," 31,867,801 "
Jamaica,2011,109,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.798666023,3B,Jamaica,2011,109,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,2198216.5,3B," 2,752,360 "
Kyrgyzstan,2011,113,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.219690885,3B,Kyrgyzstan,2011,113,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,12327786,3B," 5,553,830 "
Lesotho,2011,122,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.18579658,3B,Lesotho,2011,122,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,2410665.1,3B," 2,032,950 "
Liberia,2011,123,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.561666506,3B,Liberia,2011,123,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,10450498,3B," 4,079,570 "
Libyan Arab Jamahiriya,2011,124,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,3.546277714,3B,Libyan Arab Jamahiriya,2011,124,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,22301299,3B," 6,288,650 "
Mauritania,2011,136,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,11.65018471,3B,Mauritania,2011,136,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,42910193,3B," 3,683,220 "
Mongolia,2011,141,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,46.27348666,3B,Mongolia,2011,141,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,127671792,3B," 2,759,070 "
Papua New Guinea,2011,168,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,7.699680424,3B,Papua New Guinea,2011,168,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,53906770.99,3B," 7,001,170 "
Timor-Leste,2011,176,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,3.294257036,3B,Timor-Leste,2011,176,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,3549891.302,3B," 1,077,600 "
Saint Kitts and Nevis,2011,188,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.807615344,3B,Saint Kitts and Nevis,2011,188,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,95800,3B," 52,998 "
Tajikistan,2011,208,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,0.745604039,3B,Tajikistan,2011,208,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,5781354.01,3B," 7,753,920 "
Swaziland,2011,209,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.528688007,3B,Swaziland,2011,209,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,1853473.001,3B," 1,212,460 "
Turkmenistan,2011,213,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,7.847074826,3B,Turkmenistan,2011,213,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,40072420.99,3B," 5,106,670 "
Trinidad and Tobago,2011,220,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.795700567,3B,Trinidad and Tobago,2011,220,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,2396883.23,3B," 1,334,790 "
Oman,2011,221,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,2.19196511,3B,Oman,2011,221,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,7036208.002,3B," 3,210,000 "
Uruguay,2011,234,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,6.773139927,3B,Uruguay,2011,234,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,22931211,3B," 3,385,610 "
Samoa,2011,244,AreaPerCap,NULL,NULL,NULL,NULL,NULL,NULL,1.494392647,3B,Samoa,2011,244,AreaTotHA,NULL,NULL,NULL,NULL,NULL,NULL,280100,3B," 187,434 "
