country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore,country,year,country_code,record,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,total,QScore,Population
Congo,2011,46,AreaPerCap,0.142671112,2.393810597,5.361082461,0.199859247,0.033769966,0,8.131193382,5,Congo,2011,46,AreaTotHA,596000,10000000,22395600,834900,141072.0062,0,33967572.01,5," 4,177,440 "
Costa Rica,2011,48,AreaPerCap,0.118900372,0.276492273,0.572808519,0.405174211,0.029041254,0,1.402416628,5,Costa Rica,2011,48,AreaTotHA,547000,1272000,2635200,1864000,133604.0039,0,6451804.004,5," 4,600,490 "
Cuba,2011,49,AreaPerCap,0.319721413,0.246167546,0.263661742,0.515101222,0.029954609,0,1.374606533,6,Cuba,2011,49,AreaTotHA,3620397.272,2787502.728,2985600,5832800,339194.0002,0,15565494,6," 11,323,600 "
Cyprus,2011,50,AreaPerCap,0.288414499,0.40213927,0.173833167,0.240533204,0.074781845,0,1.179701985,5,Cyprus,2011,50,AreaTotHA,322055.1705,449044.8,194109.0699,268589,83504.40103,0,1317302.441,5," 1,116,640 "
Azerbaijan,2011,52,AreaPerCap,0.228978354,0.287813296,0.112112588,0.042720085,0.030919934,0,0.702544257,5,Azerbaijan,2011,52,AreaTotHA,2112900,2655800,1034520,394200,285313.9954,0,6482733.995,5," 9,227,510 "
Benin,2011,53,AreaPerCap,0.304722494,0.056240729,0.461276231,0.049614548,0.025326019,0,0.89718002,6,Benin,2011,53,AreaTotHA,2980000,550000,4511000,485200,247673.0042,0,8773873.004,6," 9,779,390 "
Denmark,2011,54,AreaPerCap,0.59992964,0.021586115,0.088625952,1.78675225,0.059553013,0,2.556446971,5,Denmark,2011,54,AreaTotHA,3345555.68,120376.7004,494229.7189,9963967,332102.148,0,14256231.25,5," 5,576,580 "
Dominica,2011,55,AreaPerCap,0.322119827,0.02801042,0.621691265,0.400549002,0,0,1.372370514,5,Dominica,2011,55,AreaTotHA,23000,2000,44390,28600,0,0,97990,5," 71,402 "
Dominican Republic,2011,56,AreaPerCap,0.119675684,0.119376494,0.184519958,0.110450683,0.023474186,0,0.557497005,6,Dominican Republic,2011,56,AreaTotHA,1200000,1197000,1850200,1107500,235378.006,0,5590078.006,6," 10,027,100 "
Belarus,2011,57,AreaPerCap,0.595615156,0.339809461,0.901580691,0.04943258,0.035570588,0,1.922008475,6,Belarus,2011,57,AreaTotHA,5651000,3224000,8553900,469000,337481.9946,0,18235381.99,6," 9,487,670 "
Egypt,2011,59,AreaPerCap,0.043204483,0,0.000842607,0.063917571,0.017692236,0,0.125656897,5,Egypt,2011,59,AreaTotHA,3620000,0,70600,5355500,1482390.015,0,10528490.01,5," 83,787,602 "
El Salvador,2011,60,AreaPerCap,0.114116604,0.140705278,0.046670553,0.302962244,0.020475426,0,0.624930106,5,El Salvador,2011,60,AreaTotHA,691000,852000,282600,1834500,123983.0017,0,3784083.002,5," 6,055,210 "
Estonia,2011,63,AreaPerCap,1.072221385,0.219437505,1.872694657,2.848230254,0.069373063,0,6.081956864,5,Estonia,2011,63,AreaTotHA,1423984.998,291428.3556,2487069.492,3782649,92132.28044,0,8077264.126,5," 1,328,070 "
Fiji,2011,66,AreaPerCap,0.288241912,0.201769338,1.150384999,3.450370978,0.043144742,0,5.133911968,5,Fiji,2011,66,AreaTotHA,250000,175000,997760,2992600,37420.60089,0,4452780.601,5," 867,327 "
France,2011,68,AreaPerCap,0.371675644,0.170860453,0.25417637,0.366400878,0.04574472,0,1.208858064,6,France,2011,68,AreaTotHA,23529150.25,10816423.73,16090787.98,23195228,2895896.995,0,76527486.96,6," 63,305,602 "
French Polynesia,2011,70,AreaPerCap,0.094143882,0.073838338,0.572247123,2.603909006,0,0,3.34413835,5,French Polynesia,2011,70,AreaTotHA,25500,20000,155000,705300,0,0,905800,5," 270,862 "
Gambia,2011,75,AreaPerCap,0.260133787,0.091475617,0.275341608,0.358698764,0.028481619,0,1.014131396,5,Gambia,2011,75,AreaTotHA,455000,160000,481600,627400,49817.19971,0,1773817.2,5," 1,749,100 "
Germany,2011,79,AreaPerCap,0.192183218,0.062635787,0.132483341,0.073882419,0.037089494,0,0.498274258,5,Germany,2011,79,AreaTotHA,15456278.25,5037464.545,10654933.33,5941971.625,2982911.535,0,40073559.29,5," 80,424,703 "
Bosnia and Herzegovina,2011,80,AreaPerCap,0.377113692,0.196611378,0.703394287,0.008536627,0.01969361,0,1.305349593,5,Bosnia and Herzegovina,2011,80,AreaTotHA,1445216.594,753475.7606,2695625,32715,75472.02078,0,5002504.375,5," 3,832,310 "
Ghana,2011,81,AreaPerCap,0.297651283,0.332952243,0.369994183,0.134388351,0.031766291,0,1.166752351,6,Ghana,2011,81,AreaTotHA,7420000,8300000,9223400,3350100,791885.9863,0,29085385.99,6," 24,928,500 "
Greece,2011,84,AreaPerCap,0.449580392,0.314084321,0.353941504,0.618421232,0.02630111,0,1.762328559,5,Greece,2011,84,AreaTotHA,5014170.109,3502982.434,3947509.595,6897252,293336.2842,0,19655250.42,5," 11,153,000 "
Guadeloupe,2011,87,AreaPerCap,0.05276159,0.074127854,0.158720818,0.816496514,0.001391604,0,1.10349838,5,Guadeloupe,2011,87,AreaTotHA,24200,34000,72800,374500,638.2830143,0,506138.283,5," 458,667 "
Guatemala,2011,89,AreaPerCap,0.14164247,0.116882514,0.244901759,0.115865856,0.024468115,0,0.643760715,5,Guatemala,2011,89,AreaTotHA,2131620,1759000,3685600,1743700,368227.9968,0,9688147.997,5," 15,049,300 "
Guinea,2011,90,AreaPerCap,0.31812236,0.945530348,0.575094533,0.426478371,0.036935154,0,2.302160766,5,Guinea,2011,90,AreaTotHA,3600000,10700000,6508000,4826200,417972.9919,0,26052172.99,5," 11,316,400 "
Guyana,2011,91,AreaPerCap,0.592684321,1.627235971,21.91609032,9.273657485,0.052545167,0,33.46221326,5,Guyana,2011,91,AreaTotHA,448000,1230000,16566000,7009800,39717.9985,0,25293518,5," 755,883 "
Haiti,2011,93,AreaPerCap,0.132086068,0.048300129,0.009876884,0.052183854,0.019300041,0,0.261746976,6,Haiti,2011,93,AreaTotHA,1340000,490000,100200,529400,195796.9971,0,2655396.997,6," 10,144,900 "
Hungary,2011,97,AreaPerCap,0.532104397,0.066506193,0.208535712,0.012851757,0.055493769,0,0.875491829,5,Hungary,2011,97,AreaTotHA,5315110.803,664320.3596,2083031.869,128374.269,554318.911,0,8745156.211,5," 9,988,850 "
Croatia,2011,98,AreaPerCap,0.46910015,0.209060398,0.622428544,0.989436289,0.040656382,0,2.330681762,6,Croatia,2011,98,AreaTotHA,2018101.601,899392.4276,2677731.055,4256624,174906.596,0,10026755.68,6," 4,302,070 "
India,2011,100,AreaPerCap,0.135772175,0.008257646,0.056089142,0.058224057,0.018722594,0,0.277065614,6,India,2011,100,AreaTotHA,169369000,10301000,69968400,72631600,23355500,0,345625500,6," 1,247,450,000 "
Indonesia,2011,101,AreaPerCap,0.185859939,0.044933172,0.382943368,0.779983497,0.022856157,0,1.416576134,6,Indonesia,2011,101,AreaTotHA,45500000,11000000,93747600,190946200,5595370.117,0,346789170.1,6," 244,808,000 "
Ireland,2011,104,AreaPerCap,0.231040466,0.864289761,0.157647989,2.906218121,0.037458619,0,4.196654956,6,Ireland,2011,104,AreaTotHA,1074964.278,4021289.58,733490.3679,13521790,174284.0915,0,19525818.32,6," 4,652,710 "
Israel,2011,105,AreaPerCap,0.049845768,0.018510365,0.020652279,0.056364061,0.019122925,0,0.164495399,6,Israel,2011,105,AreaTotHA,377000,140000,156200,426300,144632.9956,0,1244132.996,6," 7,563,330 "
Italy,2011,106,AreaPerCap,0.23319369,0.053095182,0.154087804,0.188449962,0.025327857,0,0.654154495,6,Italy,2011,106,AreaTotHA,13924158.28,3170350.453,9200690.498,11252479,1512344.047,0,39060022.27,6," 59,710,699 "
Côte d'Ivoire,2011,107,AreaPerCap,0.35915009,0.640646106,0.504877665,0.079032433,0.032752207,0,1.616458502,6,Côte d'Ivoire,2011,107,AreaTotHA,7400000,13200000,10402600,1628400,674833.0078,0,33305833.01,6," 20,604,199 "
Japan,2011,110,AreaPerCap,0.031009092,0.004832892,0.196179265,0.346035064,0.019615804,0,0.597672117,6,Japan,2011,110,AreaTotHA,3946000,615000,24964400,44034000,2496169.922,0,76055569.92,6," 127,253,000 "
Jordan,2011,112,AreaPerCap,0.038409758,0.109895732,0.014422287,0.008342738,0.035029,0,0.206099515,6,Jordan,2011,112,AreaTotHA,259664.1797,742935.8203,97500,56400,236809.0057,0,1393309.006,6," 6,760,370 "
Kenya,2011,114,AreaPerCap,0.152824722,0.514244326,0.103008209,0.048536939,0.027039352,0,0.845653548,5,Kenya,2011,114,AreaTotHA,6330000,21300000,4266600,2010400,1119969.971,0,35026969.97,5," 41,420,000 "
"Korea, Democratic People's Republic of",2011,116,AreaPerCap,0.104744349,0.002029929,0.224875562,0.141685001,0.024955951,0,0.498290792,6,"Korea, Democratic People's Republic of",2011,116,AreaTotHA,2580000,50000,5539000,3489900,614700.0122,0,12273600.01,6," 24,631,400 "
"Korea, Republic of",2011,117,AreaPerCap,0.034402625,0.001177145,0.125907933,0.598342281,0.015127815,0,0.774957799,6,"Korea, Republic of",2011,117,AreaTotHA,1698000,58100,6214400,29532200,746658.9966,0,38249359,6," 49,356,699 "
Latvia,2011,119,AreaPerCap,0.917983957,0.4242814,1.600857138,1.412142551,0.039090922,0,4.394355967,5,Latvia,2011,119,AreaTotHA,1894406.691,875572.5165,3303624.701,2914181.972,80670.36811,0,9068456.249,5," 2,063,660 "
Lao People's Democratic Republic,2011,120,AreaPerCap,0.250749573,0.106802198,2.827859913,0.094237234,0.049598781,0,3.329247699,6,Lao People's Democratic Republic,2011,120,AreaTotHA,1596500,680000,18004730,600000,315790.9851,0,21197020.99,6," 6,366,910 "
Lebanon,2011,121,AreaPerCap,0.054663848,0.087113701,0.029832087,0.027027026,0.01916312,0,0.217799782,6,Lebanon,2011,121,AreaTotHA,251000,400000,136980,124100,87991.30249,0,1000071.302,6," 4,591,700 "
Lithuania,2011,126,AreaPerCap,1.301301654,0.121597593,0.699595828,0.231756604,0.064942465,0,2.419194144,5,Lithuania,2011,126,AreaTotHA,3995763.959,373376.3649,2148172.014,711629.5305,199411.6893,0,7428353.559,5," 3,070,590 "
Madagascar,2011,129,AreaPerCap,0.189585262,1.720336333,0.578304239,0.599896663,0.040584762,0,3.128707258,6,Madagascar,2011,129,AreaTotHA,4110000,37295000,12537000,13005100,879833.0078,0,67826933.01,6," 21,678,900 "
Malawi,2011,130,AreaPerCap,0.2452912,0.121496311,0.211403581,0.158930309,0.02894607,0,0.766067471,6,Malawi,2011,130,AreaTotHA,3735000,1850000,3219000,2420000,440756.012,0,11664756.01,6," 15,226,800 "
Malaysia,2011,131,AreaPerCap,0.256675883,0.009974451,0.774794386,1.359423232,0.025020509,0,2.425888462,6,Malaysia,2011,131,AreaTotHA,7334000,285000,22138200,38842800,714911.0107,0,69314911.01,6," 28,573,000 "
Mali,2011,133,AreaPerCap,0.425216295,2.238044445,0.321693712,0.1278846,0.04670985,0,3.159548902,6,Mali,2011,133,AreaTotHA,6650000,35001000,5031000,2000000,730500,0,49412500,6," 15,639,100 "
Mauritius,2011,137,AreaPerCap,0.065438238,0.005586191,0.030676169,3.181335825,0,0,3.283036424,5,Mauritius,2011,137,AreaTotHA,82000,7000,38440,3986500,0,0,4113940,5," 1,253,090 "
Mexico,2011,138,AreaPerCap,0.21316828,0.67334358,0.551708553,0.351010676,0.027497778,0,1.816728867,5,Mexico,2011,138,AreaTotHA,25658000,81047000,66406400,42249400,3309770.02,0,218670570,5," 120,365,000 "
Morocco,2011,143,AreaPerCap,0.279841387,0.645518259,0.174105496,0.160362105,0.028704077,0,1.288531324,5,Morocco,2011,143,AreaTotHA,9103800,21000000,5664000,5216900,933801.0254,0,41918501.03,5," 32,532,000 "
Mozambique,2011,144,AreaPerCap,0.237839217,1.758811016,1.549576462,0.369554176,0.044731362,0,3.960512233,5,Mozambique,2011,144,AreaTotHA,5950000,44000000,38765600,9245100,1119040.039,0,99079740.04,5," 25,016,900 "
Moldova,2011,146,AreaPerCap,0.517434596,0.086320843,0.095786708,0.024522967,0.029992324,0,0.754057437,5,Moldova,2011,146,AreaTotHA,2110000,352000,390600,100000,122303.0014,0,3074903.001,5," 4,077,810 "
Nepal,2011,149,AreaPerCap,0.085466094,0.06636325,0.133778776,0.014091659,0.023378173,0,0.323077952,6,Nepal,2011,149,AreaTotHA,2322900,1803700,3636000,383000,635400.0244,0,8781000.024,6," 27,179,199 "
Netherlands,2011,150,AreaPerCap,0.082251147,0.064335335,0.019328104,0.393373588,0.031086555,0,0.590374729,6,Netherlands,2011,150,AreaTotHA,1372763.457,1073750.326,322584.1353,6565366,518831.5056,0,9853295.424,6," 16,689,900 "
Macedonia TFYR,2011,154,AreaPerCap,0.331735189,0.189237182,0.625485827,0.045377902,0.020095423,0,1.211931523,5,Macedonia TFYR,2011,154,AreaTotHA,685328.3732,390943.1807,1292184.849,93745.75,41514.93088,0,2503717.084,5," 2,065,890 "
New Zealand,2011,156,AreaPerCap,0.123056525,2.458633039,2.304744271,5.986245849,0.032139095,0,10.90481878,5,New Zealand,2011,156,AreaTotHA,542000,10829000,10151200,26366300,141555.9998,0,48030056,5," 4,404,480 "
Nicaragua,2011,157,AreaPerCap,0.309756377,0.56336403,0.536176408,1.353122263,0.035410199,0,2.797829276,5,Nicaragua,2011,157,AreaTotHA,1799000,3271900,3114000,7858650,205654.9988,0,16249205,5," 5,807,790 "
Niger,2011,158,AreaPerCap,0.926444989,1.6984038,0.070315404,0.001770277,0.039823504,0,2.736757975,5,Niger,2011,158,AreaTotHA,15700000,28782000,1191600,30000,674869.0186,0,46378469.02,5," 16,946,500 "
Nigeria,2011,159,AreaPerCap,0.248517747,0.185014441,0.052704081,0.032144885,0.023584578,0,0.541965732,6,Nigeria,2011,159,AreaTotHA,40700000,30300000,8631400,5264400,3862469.971,0,88758269.97,6," 163,771,000 "
Norway,2011,162,AreaPerCap,0.320573418,0.942666091,2.317512582,9.273884331,0.057756204,0,12.91239263,5,Norway,2011,162,AreaTotHA,1588101.461,4669911.2,11480818.14,45942266,286120.7641,0,63967217.57,5," 4,953,940 "
Pakistan,2011,165,AreaPerCap,0.178130938,0.028790234,0.009466229,0.041782116,0.02334888,0,0.281518397,6,Pakistan,2011,165,AreaTotHA,30936000,5000000,1644000,7256300,4055000,0,48891300,6," 173,670,000 "
Panama,2011,166,AreaPerCap,0.196904927,0.417710039,1.271761396,1.359485936,0.033677261,0,3.279539559,5,Panama,2011,166,AreaTotHA,725000,1538000,4682600,5005600,123999.0005,0,12075199,5," 3,681,980 "
Czech Republic,2011,167,AreaPerCap,0.357823618,0.070159834,0.264755426,0.005388288,0.048723604,0,0.746850769,6,Czech Republic,2011,167,AreaTotHA,3769313.996,739063.6895,2788933.656,56760.22222,513254.4395,0,7867326.004,6," 10,534,000 "
Paraguay,2011,169,AreaPerCap,0.697516296,2.701088162,2.64144178,0.150180502,0.037339524,0,6.227566265,5,Paraguay,2011,169,AreaTotHA,4390000,17000000,16624600,945200,235005.9967,0,39194806,5," 6,293,760 "
Peru,2011,170,AreaPerCap,0.181116198,0.62883275,2.508187159,0.283663584,0.037545824,0,3.639345514,6,Peru,2011,170,AreaTotHA,5390000,18714000,74643400,8441800,1117359.985,0,108306560,6," 29,759,900 "
Philippines,2011,171,AreaPerCap,0.11311307,0.016620728,0.074919681,0.268232564,0.019183353,0,0.492069396,5,Philippines,2011,171,AreaTotHA,10689321.18,1570678.825,7080000,25348300,1812849.976,0,46501149.98,5," 94,501,203 "
Poland,2011,173,AreaPerCap,0.394814428,0.073086169,0.255020666,0.092916783,0.032529987,0,0.848368034,6,Poland,2011,173,AreaTotHA,15237546.69,2820702.183,9842318.403,3586048.821,1255468.814,0,32742084.91,6," 38,594,199 "
Portugal,2011,174,AreaPerCap,0.304077292,0.071916973,0.322325727,0.248919859,0.030657393,0,0.977897244,6,Portugal,2011,174,AreaTotHA,3210721.834,759364.1561,3403405.248,2628320,323708.3575,0,10325519.59,6," 10,558,900 "
Guinea-Bissau,2011,175,AreaPerCap,0.328650559,0.645350188,1.202263499,2.62006201,0.03876983,0,4.835096086,6,Guinea-Bissau,2011,175,AreaTotHA,550000,1080000,2012000,4384700,64881.69861,0,8091581.699,6," 1,673,510 "
Eritrea,2011,178,AreaPerCap,0.144480616,1.440630423,0.318943048,1.535920818,0.041865139,0,3.481840044,6,Eritrea,2011,178,AreaTotHA,692000,6900000,1527600,7356400,200516.0065,0,16676516.01,6," 4,789,570 "
Zimbabwe,2011,181,AreaPerCap,0.301635857,0.848789271,1.074076182,0.027427819,0.041040013,0,2.292969141,6,Zimbabwe,2011,181,AreaTotHA,4300000,12100000,15311600,391000,585049.9878,0,32687649.99,6," 14,255,600 "
Réunion,2011,182,AreaPerCap,0.044562853,0.014456046,0.105134881,0.022938519,0,0,0.187092299,5,Réunion,2011,182,AreaTotHA,37300,12100,88000,19200,0,0,156600,5," 837,020 "
Romania,2011,183,AreaPerCap,0.546246154,0.145384733,0.386966076,0.102044874,0.07077747,0,1.251419308,5,Romania,2011,183,AreaTotHA,10985938.35,2923934.015,7782545.335,2052295.817,1423455.194,0,25168168.72,5," 20,111,699 "
Rwanda,2011,184,AreaPerCap,0.131810082,0.040259936,0.042893409,0.015819786,0.016704368,0,0.247487581,5,Rwanda,2011,184,AreaTotHA,1391440,425000,452800,167000,176337.9974,0,2612577.997,5," 10,556,400 "
Russian Federation,2011,185,AreaPerCap,0.849445922,0.649391457,5.691564056,3.36649559,0.03341517,0,10.5903122,6,Russian Federation,2011,185,AreaTotHA,121650000,93000000,815094580,482119200,4785419.922,0,1516649200,6," 143,211,000 "
Saint Lucia,2011,189,AreaPerCap,0.055779293,0.003346758,0.114570667,0.457947992,0.0012743,0,0.632919009,5,Saint Lucia,2011,189,AreaTotHA,10000,600,20540,82100,228.4539938,0,113468.454,5," 179,278 "
Sao Tome and Principe,2011,193,AreaPerCap,0.273123925,0.005725868,0.306906549,0.825097645,0,0,1.410853988,5,Sao Tome and Principe,2011,193,AreaTotHA,47700,1000,53600,144100,0,0,246400,5," 174,646 "
Senegal,2011,195,AreaPerCap,0.255671184,0.419255821,0.631354346,0.194766789,0.029105787,0,1.530153926,5,Senegal,2011,195,AreaTotHA,3415000,5600000,8433000,2601500,388765.9912,0,20438265.99,5," 13,357,000 "
Sierra Leone,2011,197,AreaPerCap,0.307608332,0.372319081,0.472100595,0.457850928,0.036200585,0,1.646079522,6,Sierra Leone,2011,197,AreaTotHA,1817630,2200000,2789600,2705400,213906.0059,0,9726536.006,6," 5,908,910 "
Slovenia,2011,198,AreaPerCap,0.268819478,0.072103208,0.576037313,0.011512273,0.027694964,0,0.956167236,6,Slovenia,2011,198,AreaTotHA,553504.6875,148461.9479,1186072.36,23704,57024.48506,0,1968767.48,6," 2,059,020 "
Slovakia,2011,199,AreaPerCap,0.379587246,0.059802825,0.403586721,0.005948613,0.049791593,0,0.898716999,5,Slovakia,2011,199,AreaTotHA,2054090.789,323615.8035,2183961.062,32190.20645,269441.2266,0,4863299.088,5," 5,411,380 "
Singapore,2011,200,AreaPerCap,0.000140637,0,0.003149882,0.010827119,0.005742457,0,0.019860095,5,Singapore,2011,200,AreaTotHA,730,0,16350,56200,29807.19948,0,103087.1995,5," 5,190,670 "
Somalia,2011,201,AreaPerCap,0.104826614,4.384770808,0.680169727,0.589710885,0.066888555,0,5.826366589,5,Somalia,2011,201,AreaTotHA,1028000,43000000,6670200,5783100,655953.9795,0,57137253.98,5," 9,806,670 "
South Africa,2011,202,AreaPerCap,0.237875997,1.607050876,0.17690424,0.317964362,0.028532101,0,2.368327576,5,South Africa,2011,202,AreaTotHA,12426000,83948000,9241000,16609600,1490439.941,0,123715039.9,5," 52,237,301 "
Spain,2011,203,AreaPerCap,0.458958687,0.185010939,0.308886784,0.16079705,0.022780862,0,1.136434322,6,Spain,2011,203,AreaTotHA,21437225.22,8641564.663,14427607,7510572.689,1064057.558,0,53081027.13,6," 46,708,398 "
Sweden,2011,210,AreaPerCap,0.383207871,0.302758524,3.124119333,1.979405515,0.069783385,0,5.859274629,5,Sweden,2011,210,AreaTotHA,3626046.853,2864807.004,29561509.35,18729827,660314.7831,0,55442504.99,5," 9,462,350 "
Switzerland,2011,211,AreaPerCap,0.095929037,0.117441275,0.161831044,0.017936383,0.036175486,0,0.429313224,6,Switzerland,2011,211,AreaTotHA,760315.3297,930817.2358,1282642.112,142160.362,286720.0318,0,3402655.072,6," 7,925,810 "
Syrian Arab Republic,2011,212,AreaPerCap,0.278812958,0.399927824,0.023949818,0.012287086,0.029105907,0,0.744083594,5,Syrian Arab Republic,2011,212,AreaTotHA,5716000,8199000,491000,251900,596705.9937,0,15254605.99,5," 20,501,199 "
"Tanzania, United Republic of",2011,215,AreaPerCap,0.303461155,0.509305435,1.00901895,0.16643465,0.040039259,0,2.028259449,6,"Tanzania, United Republic of",2011,215,AreaTotHA,14300000,24000000,47548000,7842900,1886770.02,0,95577670.02,6," 47,123,000 "
Thailand,2011,216,AreaPerCap,0.30282648,0.01195761,0.243322422,0.351051522,0.027195791,0,0.936353825,6,Thailand,2011,216,AreaTotHA,20260000,800000,16279000,23486400,1819479.98,0,62644879.98,6," 66,903,000 "
Togo,2011,217,AreaPerCap,0.405867632,0.152295547,0.04069337,0.052511505,0.028924579,0,0.680292632,6,Togo,2011,217,AreaTotHA,2665000,1000000,267200,344800,189923.996,0,4466923.996,6," 6,566,180 "
Tonga,2011,219,AreaPerCap,0.258640513,0.038317113,0.086213504,3.315388207,0,0,3.698559337,5,Tonga,2011,219,AreaTotHA,27000,4000,9000,346100,0,0,386100,5," 104,392 "
Tunisia,2011,222,AreaPerCap,0.486387996,0.449767153,0.092964891,0.69311916,0.031652025,0,1.753891225,5,Tunisia,2011,222,AreaTotHA,5233000,4839000,1000200,7457200,340540.9851,0,18869940.99,5," 10,758,900 "
